rank,name,nationality,team,points,rider_url
90,VAN DEN BERG Marijn,NL,EF Education - EasyPost,352.0,https://www.procyclingstats.com/rider/marijn-van-den-berg
91,VERMEERSCH Florian,BE,UAE Team Emirates - XRG,350.0,https://www.procyclingstats.com/rider/florian-vermeersch
92,CHRISTEN Fabio,CH,Q36.5 Pro Cycling Team,349.0,https://www.procyclingstats.com/rider/fabio-christen
93,COQUARD Bryan,FR,Cofidis,346.0,https://www.procyclingstats.com/rider/bryan-coquard
94,SILVA Guillermo Thomas,UY,Caja Rural - Seguros RGA,340.0,https://www.procyclingstats.com/rider/guillermo-thomas-silva-coussan
95,TEUNISSEN Mike,NL,XDS Astana Team,340.0,https://www.procyclingstats.com/rider/mike-teunissen
96,BERTHET Clément,FR,Decathlon AG2R La Mondiale Team,339.0,https://www.procyclingstats.com/rider/clement-berthet
97,HIRSCHI Marc,CH,Tudor Pro Cycling Team,334.0,https://www.procyclingstats.com/rider/marc-hirschi
98,AULAR Orluis,VE,Movistar Team,334.0,https://www.procyclingstats.com/rider/orluis-aular
99,MENTEN Milan,BE,Lotto,333.0,https://www.procyclingstats.com/rider/milan-menten
100,GROENEWEGEN Dylan,NL,Team Jayco AlUla,330.0,https://www.procyclingstats.com/rider/dylan-groenewegen
101,BARRÉ Louis,FR,Intermarché - Wanty,326.0,https://www.procyclingstats.com/rider/louis-barre
102,JOHANNESSEN Tobias Halland,NO,Uno-X Mobility,323.0,https://www.procyclingstats.com/rider/tobias-halland-johannessen
103,LANDA Mikel,ES,Soudal Quick-Step,322.0,https://www.procyclingstats.com/rider/mikel-landa
104,GRUEL Thibaud,FR,Groupama - FDJ,321.0,https://www.procyclingstats.com/rider/thibaud-gruel
105,KRISTOFF Alexander,NO,Uno-X Mobility,318.0,https://www.procyclingstats.com/rider/alexander-kristoff
106,DE LA CRUZ David,ES,Q36.5 Pro Cycling Team,318.0,https://www.procyclingstats.com/rider/david-de-la-cruz
