fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_nationality,pcs_team,pcs_url,points_per_credit,value_category
C. RODRIGUEZ MARTIN,Arkea-B&B Hotels Woman,Climbers,14,True,1.0,RODRÍGUEZ Cristián,103.0,392.0,ES,Arkéa - B&B Hotels,https://www.procyclingstats.com/rider/cristian-rodriguez,28.0,Good
L. MEINTJES,Intermarché - Wanty,Leaders,14,True,1.0,MEINTJES Louis,386.0,115.0,ZA,Intermarché - Wanty,https://www.procyclingstats.com/rider/louis-meintjes,8.214285714285714,Poor
B. ARMIRAIL,Decathlon AG2R La Mondiale Team,All-rounders,14,True,1.0,ARMIRAIL Bruno,342.0,135.0,FR,Decathlon AG2R La Mondiale Team,https://www.procyclingstats.com/rider/bruno-armirail,9.642857142857142,Poor
L. KÄMNA,Lidl-Trek,Climbers,14,True,1.0,KÄMNA Lennard,298.0,164.0,DE,Lidl - Trek,https://www.procyclingstats.com/rider/lennard-kamna,11.714285714285714,Average
D. CARUSO,Bahrain Victorious,Climbers,14,True,1.1,CARUSO Damiano,98.0,402.0,IT,Bahrain - Victorious,https://www.procyclingstats.com/rider/damiano-caruso,28.714285714285715,Good
D. DE LA CRUZ MELGAREJO,Q36.5 Pro Cycling Team,Climbers,14,True,0.644875,DELGADO Ricardo,1097.0,19.0,CU,,https://www.procyclingstats.com/rider/ricardo-delgado1,1.3571428571428572,Poor
A. ZINGLE,Team Visma | Lease a Bike,Sprinters,13,True,1.1,ZINGLE Axel,307.0,158.0,FR,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/axel-zingle,12.153846153846153,Average
E. HAYTER,Soudal Quick-Step,Sprinters,13,True,1.1,HAYTER Ethan,194.0,245.0,GB,Soudal Quick-Step,https://www.procyclingstats.com/rider/ethan-hayter,18.846153846153847,Average
A. AUGUST,Ineos Grenadiers,Climbers,13,True,1.0,AUGUST Andrew,503.0,81.0,US,INEOS Grenadiers,https://www.procyclingstats.com/rider/andrew-august,6.230769230769231,Poor
M. MIHKELS,EF Education - Easypost,Sprinters,13,True,1.0,MIHKELS Madis,204.0,236.0,EE,EF Education - EasyPost,https://www.procyclingstats.com/rider/madis-mihkels,18.153846153846153,Average
