fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_points_12m,pcs_nationality,pcs_team,pcs_url,wins_2026,value_points,points_per_credit,value_category
S. MAISONOBE,Cofidis,All-rounders,6,True,1.1,MAISONOBE Sam,428.0,84.0,148.0,FR,Cofidis,https://www.procyclingstats.com/rider/sam-maisonobe,0,96.8,16.133333333333333,Average
S. FERNANDEZ GARCIA,Caja Rural-Seguros RGA,Climbers,6,True,1.0,FERNÁNDEZ Samuel,337.0,115.0,127.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/samuel-fernandez-garcia,0,117.4,19.566666666666666,Average
J. NICOLAU BELTRAN,Caja Rural-Seguros RGA,Climbers,6,True,1.0,NICOLAU Joel,429.0,83.0,145.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/joel-nicolau,0,95.4,15.9,Average
P. GAMPER,Team Jayco AlUla,All-rounders,6,True,1.0,GAMPER Patrick,1129.0,15.0,57.0,AT,Team Jayco AlUla,https://www.procyclingstats.com/rider/patrick-gamper,0,23.4,3.9,Poor
A. JOHANNESSEN,Uno-X Mobility,All-rounders,6,True,1.0,JOHANNESSEN Anders Halland,504.0,66.0,289.0,NO,Uno-X Mobility,https://www.procyclingstats.com/rider/anders-halland-johannessen,0,110.6,18.433333333333334,Average
N. MÄRKL,Team Picnic PostNL,All-rounders,6,True,1.0,MÄRKL Niklas,703.0,40.0,69.0,DE,Team Picnic PostNL,https://www.procyclingstats.com/rider/niklas-markl,0,45.8,7.633333333333333,Poor
B. VAN LERBERGHE,Soudal Quick-Step,All-rounders,6,True,1.0,VAN LERBERGHE Bert,933.0,24.0,49.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/bert-van-lerberghe,0,29.0,4.833333333333333,Poor
J. VAN DEN BERG,Team Picnic PostNL,All-rounders,6,True,1.0,VAN DEN BERG Julius,559.0,59.0,59.0,NL,Team Picnic PostNL,https://www.procyclingstats.com/rider/julius-van-den-berg,0,59.0,9.833333333333334,Poor
C. BEULLENS,Lotto Intermarché,All-rounders,6,True,1.0,BEULLENS Cedric,577.0,56.0,66.0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/cedric-beullens,0,58.0,9.666666666666666,Poor
C. VERONA QUINTANILLA,Lidl-Trek,All-rounders,6,True,1.0,VERONA Carlos,403.0,92.0,141.0,ES,Lidl - Trek,https://www.procyclingstats.com/rider/carlos-verona,0,101.8,16.966666666666665,Average
A. KIRSCH,Cofidis,All-rounders,6,True,1.1,KIRSCH Alex,809.0,32.0,34.0,LU,Cofidis,https://www.procyclingstats.com/rider/alex-kirsch,1,32.4,5.67,Poor
N. EEKHOFF,Team Picnic PostNL,All-rounders,6,True,1.0,EEKHOFF Nils,,0.0,93.0,NL,Team Picnic PostNL,https://www.procyclingstats.com/rider/nils-eekhoff,0,18.6,3.1,Poor
M. DINHAM,Team Picnic PostNL,All-rounders,6,True,1.1,DINHAM Matthew,736.0,37.0,62.0,AU,Team Picnic PostNL,https://www.procyclingstats.com/rider/matthew-dinham,0,42.0,7.0,Poor
G. BOIVIN,NSN Cycling Team,All-rounders,6,True,1.0,BOIVIN Guillaume,1292.0,10.0,83.0,CA,NSN Cycling Team,https://www.procyclingstats.com/rider/guillaume-boivin,0,24.6,4.1000000000000005,Poor
P. ALLEGAERT,Cofidis,All-rounders,6,True,1.0,ALLEGAERT Piet,,5.0,5.0,BE,Cofidis,https://www.procyclingstats.com/rider/piet-allegaert,0,5.0,0.8333333333333334,Poor
T. MARSMAN,Alpecin-Premier Tech,All-rounders,5,True,1.1,MARSMAN Tim,763.0,35.0,35.0,NL,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/tim-marsman,0,35.0,7.0,Poor
F. DAUPHIN,TotalEnergies,All-rounders,5,True,1.1,DAUPHIN Florian,435.0,82.0,97.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/florian-dauphin,0,85.0,17.0,Average
R. DHONDT,Team Picnic PostNL,All-rounders,5,True,1.1,DHONDT Robbe,683.0,43.0,43.0,BE,Team Picnic PostNL,https://www.procyclingstats.com/rider/robbe-dhondt,0,43.0,8.6,Poor
K. O’BRIEN,Team Jayco AlUla,All-rounders,5,True,1.1,O'BRIEN Kelland,685.0,42.0,74.0,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/kelland-brien,0,48.4,9.68,Poor
G. SORARRAIN AGIRREZABALA,Caja Rural-Seguros RGA,All-rounders,5,True,1.0,SORARRAIN Gorka,525.0,63.0,79.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/gorka-sorarrain,0,66.2,13.24,Average
A. MOLENAAR,Caja Rural-Seguros RGA,All-rounders,5,True,1.1,MOLENAAR Alex,209.0,193.0,241.0,NL,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/alex-molenaar,0,202.6,40.519999999999996,Great
P. CÔTÉ,NSN Cycling Team,All-rounders,5,True,1.0,CÔTÉ Pier-André,798.0,33.0,76.0,CA,NSN Cycling Team,https://www.procyclingstats.com/rider/pier-andre-cote,0,41.6,8.32,Poor
S. GRIGNARD,Lotto Intermarché,Climbers,5,True,1.0,GRIGNARD Sébastien,770.0,35.0,75.0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/sebastien-grignard,0,43.0,8.6,Poor
K. GRADEK,Bahrain Victorious,All-rounders,5,True,1.0,GRADEK Kamil,914.0,25.0,60.0,PL,Bahrain - Victorious,https://www.procyclingstats.com/rider/kamil-gradek,0,32.0,6.4,Poor
N. ARNDT,Bahrain Victorious,All-rounders,5,True,1.1,ARNDT Nikias,1285.0,10.0,0.0,DE,Bahrain - Victorious,https://www.procyclingstats.com/rider/nikias-arndt,0,10.0,2.0,Poor
