fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_points_12m,pcs_nationality,pcs_team,pcs_url,wins_2026,value_points,points_per_credit,value_category
M. LANDA MEANA,Soudal Quick-Step,Leaders,15,True,1.0,LANDA Mikel,714.0,40.0,177.0,ES,Soudal Quick-Step,https://www.procyclingstats.com/rider/mikel-landa,0,67.4,4.493333333333334,Poor
E. AFFINI,Team Visma | Lease a Bike,All-rounders,14,True,1.0,AFFINI Edoardo,640.0,48.0,128.0,IT,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/edoardo-affini,1,64.0,4.8,Poor
V. PARET PEINTRE,Soudal Quick-Step,Climbers,14,True,1.0,PARET-PEINTRE Valentin,93.0,332.0,495.0,FR,Soudal Quick-Step,https://www.procyclingstats.com/rider/valentin-paret-peintre,0,364.6,26.042857142857144,Good
F. FISHER - BLACK,Red Bull - BORA - hansgrohe,All-rounders,14,True,1.0,FISHER-BLACK Finn,225.0,179.0,228.0,NZ,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/finn-fisher-black,1,188.8,14.16,Average
E. RUBIO REYES,Movistar Team,Climbers,14,True,1.0,RUBIO Einer,374.0,103.0,204.0,CO,Movistar Team,https://www.procyclingstats.com/rider/einer-rubio,0,123.2,8.8,Poor
M. FRETIN,Cofidis,Sprinters,14,True,1.0,FRETIN Milan,124.0,277.0,382.0,BE,Cofidis,https://www.procyclingstats.com/rider/milan-fretin,1,298.0,22.35,Average
J. JEGAT,TotalEnergies,Leaders,14,True,1.0,JEGAT Jordan,157.0,241.0,627.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/jordan-jegat,1,318.2,23.865,Good
F. GAVIRIA RENDON,Caja Rural-Seguros RGA,Sprinters,14,True,1.0,GAVIRIA Fernando,197.0,203.0,256.0,CO,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/fernando-gaviria,0,213.6,15.257142857142856,Average
R. GREGOIRE,Groupama-FDJ United,All-rounders,14,True,1.0,GRÉGOIRE Romain,19.0,779.0,1289.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/romain-gregoire,3,881.0,72.36785714285713,Excellent
D. GODON,Netcompany Ineos,Sprinters,14,True,1.1,GODON Dorian,34.0,534.0,991.0,FR,Netcompany INEOS,https://www.procyclingstats.com/rider/dorian-godon,7,625.4,58.072857142857146,Excellent
M. SCHMID,Team Jayco AlUla,Climbers,14,True,1.0,SCHMID Mauro,7.0,1063.0,1307.0,CH,Team Jayco AlUla,https://www.procyclingstats.com/rider/mauro-schmid,5,1111.8,99.26785714285714,Excellent
M. CORT NIELSEN,Uno-X Mobility,All-rounders,14,True,1.0,CORT Magnus,256.0,159.0,184.0,DK,Uno-X Mobility,https://www.procyclingstats.com/rider/magnus-cort-nielsen,2,164.0,12.885714285714286,Average
P. BILBAO LOPEZ DE ARMENTIA,Bahrain Victorious,All-rounders,14,True,1.0,BILBAO Pello,59.0,419.0,713.0,ES,Bahrain - Victorious,https://www.procyclingstats.com/rider/pello-bilbao,0,477.8,34.128571428571426,Good
M. KANTER,XDS Astana Team,Sprinters,13,True,1.1,KANTER Max,97.0,319.0,556.0,DE,XDS Astana Team,https://www.procyclingstats.com/rider/max-kanter,1,366.4,29.593846153846155,Good
A. FOLDAGER,Team Jayco AlUla,All-rounders,13,True,1.1,FOLDAGER Anders,57.0,430.0,498.0,DK,Team Jayco AlUla,https://www.procyclingstats.com/rider/anders-foldager,1,443.6,35.82923076923077,Good
M. MOSCHETTI,Pinarello-Q.36.5 Pro Cycling Team,Sprinters,13,True,1.0951612903225807,MOSCHETTI Matteo,148.0,249.0,342.0,IT,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/matteo-moschetti,1,267.6,21.613846153846158,Average
G. STEINHAUSER,EF Education - Easypost,All-rounders,13,True,1.1,STEINHAUSER Georg,117.0,288.0,288.0,DE,EF Education - EasyPost,https://www.procyclingstats.com/rider/georg-steinhauser,1,288.0,23.26153846153846,Good
S. HIGUITA GARCIA,XDS Astana Team,Climbers,13,True,1.0,HIGUITA Sergio,109.0,297.0,544.0,CO,XDS Astana Team,https://www.procyclingstats.com/rider/sergio-higuita,0,346.4,26.646153846153844,Good
P. BITTNER,Team Picnic PostNL,Sprinters,13,True,1.0,BITTNER Pavel,150.0,248.0,786.0,CZ,Team Picnic PostNL,https://www.procyclingstats.com/rider/pavel-bittner,0,355.6,27.353846153846156,Good
L. PLAPP,Team Jayco AlUla,All-rounders,13,True,1.0,PLAPP Luke,35.0,530.0,781.0,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/luke-plapp,0,580.2,44.63076923076923,Great
J. BERCKMOES,Lotto Intermarché,Sprinters,13,True,1.0,BERCKMOES Jenno,73.0,376.0,490.0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/jenno-berckmoes,0,398.8,30.676923076923078,Good
L. KÄMNA,Lidl-Trek,Climbers,13,True,1.0,KÄMNA Lennard,721.0,39.0,69.0,DE,Lidl - Trek,https://www.procyclingstats.com/rider/lennard-kamna,0,45.0,3.4615384615384617,Poor
S. WATSON,Netcompany Ineos,All-rounders,13,True,1.0,WATSON Samuel,257.0,158.0,327.0,GB,Netcompany INEOS,https://www.procyclingstats.com/rider/samuel-watson,2,191.8,16.22923076923077,Average
L. ASKEY,NSN Cycling Team,All-rounders,13,True,1.0,ASKEY Lewis,84.0,351.0,390.0,GB,NSN Cycling Team,https://www.procyclingstats.com/rider/lewis-askey,0,358.8,27.6,Good
C. RODRIGUEZ MARTIN,XDS Astana Team,Climbers,13,True,1.0,RODRÍGUEZ Cristián,132.0,265.0,375.0,ES,XDS Astana Team,https://www.procyclingstats.com/rider/cristian-rodriguez,0,287.0,22.076923076923077,Average
I. VAN WILDER,Soudal Quick-Step,Climbers,13,True,1.0,VAN WILDER Ilan,164.0,232.0,531.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/ilan-van-wilder,0,291.8,22.446153846153848,Average
P. SIVAKOV,UAE Team Emirates XRG,Climbers,13,True,1.0,SIVAKOV Pavel,643.0,47.0,493.0,FR,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/pavel-sivakov,0,136.2,10.476923076923075,Poor
A. ARANBURU DEVA,Cofidis,Sprinters,13,True,1.0,ARANBURU Alex,36.0,530.0,770.0,ES,Cofidis,https://www.procyclingstats.com/rider/alex-aranburu,3,578.0,51.130769230769225,Great
D. GAUDU,Groupama-FDJ United,Climbers,13,True,1.1,GAUDU David,484.0,71.0,218.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/david-gaudu,0,100.4,7.723076923076923,Poor
G. MARTIN GUYONNET,Groupama-FDJ United,Leaders,13,True,1.0,MARTIN Guillaume,173.0,225.0,369.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/guillaume-martin,0,253.8,19.523076923076925,Average
H. TEJADA CANACUE,XDS Astana Team,Climbers,13,True,1.0,TEJADA Harold,76.0,370.0,650.0,CO,XDS Astana Team,https://www.procyclingstats.com/rider/harold-tejada,1,426.0,34.40769230769231,Good
