name,points_12m
DAINESE Alberto,227.0
SLOCK Liam,227.0
PEÑA Jesús David,227.0
ZINGLE Axel,226.0
LAFAY Victor,225.0
SWEENY Harry,225.0
ARVANITOU Nikiforos,225.0
BELOKI Markel,225.0
VERCHER Mattéo,223.0
VAN DIJKE Mick,222.0
UMBA Santiago,222.0
HERRADA Jesús,221.0
BETTLES Carter,221.0
HOFSTETTER Hugo,220.0
MAYRHOFER Marius,220.0
LÓPEZ Harold Martín,219.0
GAUDU David,218.0
VAN MOER Brent,218.0
MARTÍN Gotzon,217.0
ZANONCELLO Enrico,217.0
QUARTUCCI Lorenzo,217.0
BUSATTO Francesco,217.0
MOLANO Juan Sebastián,216.0
IZQUIERDO Clément,216.0
CAVAGNA Rémi,214.0
AGIRRE Jon,214.0
LØLAND Sakarias Koller,213.0
CAVIA Daniel,213.0
SCHIFFER Anton,213.0
VAN KERCKHOVE Matisse,212.0
REX Laurenz,211.0
TJØTTA Martin,210.0
ÁLVAREZ Héctor,210.0
MUDGWAY Luke,209.0
VAN EETVELT Lennert,209.0
DEBRUYNE Ramses,209.0
WIDAR Jarno,209.0
DE BONDT Dries,208.0
BARRÉ Louis,208.0
TEUTENBERG Tim Torn,208.0
DÍAZ José Manuel,207.0
MARTÍ Pau,206.0
GATE Aaron,204.0
MAS Enric,204.0
ALEOTTI Giovanni,204.0
RUBIO Einer,204.0
BURNETT Josh,204.0
HOELGAARD Markus,203.0
OLIVEIRA Ivo,203.0
DEKKER David,203.0
PLOWRIGHT Jensen,203.0
TARLING Joshua,201.0
MAYER Alexandre,200.0
BERTHET Clément,200.0
FIORELLI Filippo,199.0
GARIBBO Nicolò,197.0
MUNTON Byron,196.0
MARCELLUSI Martin,196.0
KUDUS Merhawi,195.0
SEPÚLVEDA Eduardo,194.0
NAESEN Oliver,192.0
TAARAMÄE Rein,192.0
HOPKINS Dylan,192.0
BREUILLARD Nicolas,191.0
PRADES Eduard,190.0
ALBANESE Vincenzo,190.0
BALDERSTONE Abel,190.0
HIRT Jan,189.0
VAN DEN BERG Marijn,189.0
BRAET Vito,189.0
TEUNS Dylan,187.0
CORT Magnus,184.0
MAJKA Rafał,184.0
