Meno jazdca,Tím,Kategória,Cena
"J. SHAW","EF Education - Easypost","Climbers","9"
"J. LABROSSE","Decathlon CMA CGM Team","All-rounders","9"
"E. LIEPINS","Pinarello-Q.36.5 Pro Cycling Team","Sprinters","9"
"I. ALVES OLIVEIRA","UAE Team Emirates XRG","All-rounders","9"
"L. HAMILTON","Netcompany Ineos","Climbers","9"
"C. SCOTSON","Decathlon CMA CGM Team","All-rounders","9"
"S. GRIGNARD","Lotto Intermarché","All-rounders","9"
"J. MOSCA","Lidl-Trek","All-rounders","9"
"A. GHEBREIGZABHIER","Lidl-Trek","All-rounders","9"
"F. WANDAHL","Red Bull - BORA - hansgrohe","All-rounders","9"
"B. ZWIEHOFF","Red Bull - BORA - hansgrohe","Climbers","9"
"R. KEPPLINGER","Bahrain Victorious","Climbers","9"
"J. RODRIGUEZ CONTRERAS","EF Education - Easypost","Climbers","8"
"D. VAN BEKKUM","XDS Astana Team","Climbers","8"
"D. TONEATTI","XDS Astana Team","All-rounders","8"
"A. ROMELE","XDS Astana Team","All-rounders","8"
"M. TJØTTA","Uno-X Mobility","All-rounders","8"
"A. MIKUTIS","Tudor Pro Cycling Team","All-rounders","8"
"M. BRENNER","Tudor Pro Cycling Team","All-rounders","8"
"H. RENARD HAQUIN","Team Picnic PostNL","All-rounders","8"
"T. DE JONG","Team Picnic PostNL","All-rounders","8"
"M. KRETSCHY","NSN Cycling Team","Climbers","8"
"J. JACOBS","Groupama-FDJ United","All-rounders","8"
"T. DONNENWIRTH","Groupama-FDJ United","Climbers","8"
"P. GAUTHERAT","Decathlon CMA CGM Team","All-rounders","8"
"C. ALLENO","Burgos Burpellet-BH","All-rounders","8"
"M. GOGL","Alpecin-Premier Tech","All-rounders","8"
"D. CAVIA SANZ","Burgos Burpellet-BH","Sprinters","8"
"P. REINDERINK","Soudal Quick-Step","All-rounders","8"
"S. SAMITIER SAMITIER","Cofidis","All-rounders","8"
"G. MOSCON","Red Bull - BORA - hansgrohe","All-rounders","8"
"J. GUTIERREZ GONZALEZ","Equipo Kern Pharma","Climbers","8"
"J. JENSEN","Team Jayco AlUla","All-rounders","8"
"K. HEIDUK","Netcompany Ineos","All-rounders","8"
"R. THOMPSON","Lotto Intermarché","Climbers","8"
"D. GONZALEZ LOPEZ","Pinarello-Q.36.5 Pro Cycling Team","Sprinters","8"
"T. STOCKWELL","Bahrain Victorious","All-rounders","7"
"N. GIMENO FERRER","Equipo Kern Pharma","All-rounders","7"
"C. PEREZ LOPEZ","Equipo Kern Pharma","All-rounders","7"
"A. KUZMIN","XDS Astana Team","Climbers","7"
"J. ERIKSSON","Tudor Pro Cycling Team","All-rounders","7"
"R. DONZÉ","Tudor Pro Cycling Team","All-rounders","7"
"F. WEISS","Tudor Pro Cycling Team","All-rounders","7"
"A. KLUCKERS","Tudor Pro Cycling Team","All-rounders","7"
