rank,name,nationality,team,points,rider_url
339,MUDGWAY Luke,NZ,Li Ning Star,144.0,https://www.procyclingstats.com/rider/luke-mudgway
340,NERURKAR Lukas,GB,EF Education - EasyPost,144.0,https://www.procyclingstats.com/rider/lukas-nerurkar
341,CAVAGNA Rémi,FR,Groupama - FDJ United,144.0,https://www.procyclingstats.com/rider/remi-cavagna
342,VERRE Alessandro,IT,MBH Bank CSB Telecom Fort,144.0,https://www.procyclingstats.com/rider/alessandro-verre
343,PEÑALVER Manuel,ES,Team Polti VisitMalta,143.0,https://www.procyclingstats.com/rider/manuel-penalver
344,BOICHIS Adrien,FR,Red Bull - BORA - hansgrohe,142.0,https://www.procyclingstats.com/rider/adrien-boichis
345,DOUBLE Paul,GB,Team Jayco AlUla,142.0,https://www.procyclingstats.com/rider/paul-double
346,SPARFEL Aubin,FR,Decathlon CMA CGM Development Team,142.0,https://www.procyclingstats.com/rider/aubin-sparfel
347,MILESI Lorenzo,IT,Movistar Team,140.0,https://www.procyclingstats.com/rider/lorenzo-milesi
348,DE BOD Stefan,ZA,Modern Adventure Pro Cycling,140.0,https://www.procyclingstats.com/rider/stefan-de-bod
349,CAMPENAERTS Victor,BE,Team Visma | Lease a Bike,140.0,https://www.procyclingstats.com/rider/victor-campenaerts
350,VAN TRICHT Floris,BE,NSN Cycling Team,138.0,https://www.procyclingstats.com/rider/floris-van-tricht
351,KOERDT Bjorn,GB,Team Picnic PostNL,137.0,https://www.procyclingstats.com/rider/bjoern-koerdt
352,DE LA CRUZ David,ES,Pinarello Q36.5 Pro Cycling Team,137.0,https://www.procyclingstats.com/rider/david-de-la-cruz
353,TSVETKOV Nikita,UZ,Bardiani CSF 7 Saber,135.0,https://www.procyclingstats.com/rider/nikita-tsvetkov
354,CATTANEO Mattia,IT,Red Bull - BORA - hansgrohe,134.0,https://www.procyclingstats.com/rider/mattia-cattaneo
355,DEKKER David,NL,BEAT CC p/b Saxo,134.0,https://www.procyclingstats.com/rider/david-dekker
356,ZANONCELLO Enrico,IT,Bardiani CSF 7 Saber,133.0,https://www.procyclingstats.com/rider/enrico-zanoncello
357,HARDOUIN Louis,FR,Van Rysel Roubaix,133.0,https://www.procyclingstats.com/rider/louis-hardouin
358,KOPECKÝ Tomáš,CZ,Unibet Rose Rockets,132.0,https://www.procyclingstats.com/rider/tomas-kopecky
359,DATI Tommaso,IT,Team UKYO,132.0,https://www.procyclingstats.com/rider/tommaso-dati
360,FOX Matthew,AU,Lotto Intermarché,131.0,https://www.procyclingstats.com/rider/matthew-fox2
361,PRONSKIY Vadim,KZ,Terengganu Cycling Team,131.0,https://www.procyclingstats.com/rider/vadim-pronskiy
362,MARTÍ Pau,ES,NSN Cycling Team,131.0,https://www.procyclingstats.com/rider/pau-marti-soriano
363,NEILANDS Krists,LV,NSN Cycling Team,131.0,https://www.procyclingstats.com/rider/krists-neilands
364,PRADES Eduard,ES,Caja Rural - Seguros RGA,129.0,https://www.procyclingstats.com/rider/eduard-prades
365,BONNEU Kamiel,BE,Solution Tech NIPPO Rali,129.0,https://www.procyclingstats.com/rider/kamiel-bonneu
366,PEÑA Jesús David,CO,Efapel Cycling,129.0,https://www.procyclingstats.com/rider/jesus-david-pena-jimenez
367,MAESTRI Mirco,IT,Team Polti VisitMalta,128.0,https://www.procyclingstats.com/rider/mirco-maestri
368,PAJUR Romet,EE,Red Bull - BORA - hansgrohe Rookies,128.0,https://www.procyclingstats.com/rider/romet-pajur
369,SU Haoyu,CN,XDS Astana Team,127.0,https://www.procyclingstats.com/rider/haoyu-su
370,JAMAICA Javier Ernesto,CO,Nu Colombia,127.0,https://www.procyclingstats.com/rider/javier-ernesto-jamaica
371,VAN DEN BERG Marijn,NL,EF Education - EasyPost,126.0,https://www.procyclingstats.com/rider/marijn-van-den-berg
372,BRUSTENGA Marc,ES,Equipo Kern Pharma,126.0,https://www.procyclingstats.com/rider/marc-brustenga-masague
373,CALZONI Walter,IT,Pinarello Q36.5 Pro Cycling Team,126.0,https://www.procyclingstats.com/rider/walter-calzoni
374,KWIATKOWSKI Michał,PL,Netcompany INEOS,125.0,https://www.procyclingstats.com/rider/michal-kwiatkowski
375,LARSEN Niklas,DK,Unibet Rose Rockets,125.0,https://www.procyclingstats.com/rider/niklas-larsen
376,TJØTTA Martin,NO,Uno-X Mobility,125.0,https://www.procyclingstats.com/rider/martin-tjotta
377,BERTHET Clément,FR,Groupama - FDJ United,125.0,https://www.procyclingstats.com/rider/clement-berthet
378,ÁLVAREZ Héctor,ES,Lidl - Trek Future Racing,124.0,https://www.procyclingstats.com/rider/hector-alvarez-martinez
379,BLEDDYN Oliver,AU,Team Brennan,123.0,https://www.procyclingstats.com/rider/oliver-bleddyn
380,SCOTT Cameron,AU,Li Ning Star,123.0,https://www.procyclingstats.com/rider/cameron-scott
381,OLIVEIRA Rui,PT,UAE Team Emirates - XRG,122.0,https://www.procyclingstats.com/rider/rui-oliveira
382,MUÑOZ Francisco,ES,Team Polti VisitMalta,122.0,https://www.procyclingstats.com/rider/francisco-munoz-llana
383,CHRISTIE-JOHNSTON Alastair,AU,CCACHE x BODYWRAP,122.0,https://www.procyclingstats.com/rider/alastair-christie-johnston
384,FERNÁNDEZ Samuel,ES,Caja Rural - Seguros RGA,121.0,https://www.procyclingstats.com/rider/samuel-fernandez-garcia
385,BALMER Alexandre,CH,Solution Tech NIPPO Rali,121.0,https://www.procyclingstats.com/rider/alexandre-balmer
386,HERREGODTS Rune,BE,UAE Team Emirates - XRG,120.0,https://www.procyclingstats.com/rider/rune-herregodts
387,BROWNING Fergus,AU,Terengganu Cycling Team,119.0,https://www.procyclingstats.com/rider/fergus-browning
388,CAVIA Daniel,ES,Burgos Burpellet BH,119.0,https://www.procyclingstats.com/rider/daniel-cavia-sanz
389,THÉOT Killian,FR,Van Rysel Roubaix,119.0,https://www.procyclingstats.com/rider/killian-theot
390,CADENA Edgar David,MX,Team Storck - MRW Bau,119.0,https://www.procyclingstats.com/rider/edgar-cadena
391,GLIVAR Gal,SI,Alpecin - Premier Tech,118.0,https://www.procyclingstats.com/rider/gal-glivar
392,RIVERA Brandon Smith,CO,Netcompany INEOS,118.0,https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas
393,WIDAR Jarno,BE,Lotto Intermarché,118.0,https://www.procyclingstats.com/rider/jarno-widar
394,ARVANITOU Nikiforos,GR,Team United Shipping,118.0,https://www.procyclingstats.com/rider/nikiforos-arvanitou
395,CHRISTOPHERSEN Cedrik Bakke,NO,Unibet Rose Rockets,117.0,https://www.procyclingstats.com/rider/cedrik-bakke-christophersen
396,HOOLE Daan,NL,Decathlon CMA CGM Team,117.0,https://www.procyclingstats.com/rider/daan-hoole
397,THOMAS Benjamin,FR,Cofidis,117.0,https://www.procyclingstats.com/rider/benjamin-thomas-2
398,VEISTROFFER Baptiste,FR,Lotto Intermarché,116.0,https://www.procyclingstats.com/rider/baptiste-veistroffer
399,FROIDEVAUX Robin,CH,Tudor Pro Cycling Team,116.0,https://www.procyclingstats.com/rider/robin-froidevaux
400,DENZ Nico,DE,Red Bull - BORA - hansgrohe,116.0,https://www.procyclingstats.com/rider/nico-denz
401,KRETSCHY Moritz,DE,NSN Cycling Team,116.0,https://www.procyclingstats.com/rider/moritz-kretschy
402,DHONDT Robbe,BE,Team Picnic PostNL,116.0,https://www.procyclingstats.com/rider/robbe-dhondt
403,STÜSSI Colin,CH,Team Vorarlberg,116.0,https://www.procyclingstats.com/rider/colin-stussi
404,VAN ENGELEN Adne,NL,Terengganu Cycling Team,115.0,https://www.procyclingstats.com/rider/adne-van-engelen
405,VEZIE Maxime,FR,CIC Pro Cycling Academy,115.0,https://www.procyclingstats.com/rider/maxime-vezie
406,SILVA Pedro,PT,Feira dos Sofás - Boavista,115.0,https://www.procyclingstats.com/rider/pedro-silva1
407,KOGUT Oded,IL,NSN Cycling Team,114.0,https://www.procyclingstats.com/rider/oded-kogut
408,PAREDES Wilmar Andres,CO,Team Medellín - EPM,114.0,https://www.procyclingstats.com/rider/wilmar-paredes
409,SEVILLA Diego Pablo,ES,Team Polti VisitMalta,113.0,https://www.procyclingstats.com/rider/diego-pablo-sevilla
410,ROMELE Alessandro,IT,XDS Astana Team,113.0,https://www.procyclingstats.com/rider/alessandro-romele
411,LÓPEZ Jordi,ES,Euskaltel - Euskadi,113.0,https://www.procyclingstats.com/rider/jordi-lopez-caravaca
